	Date	Open	High	Low	Close	Adj Close	Volume	EMA_50	EMA_14	EMA_8	RSI	K	D	ATR_14	RSI_indicator	Candle_indicator	EMA_indicator	Indicator	Entry	Target	StopLoss	Exit Row	Bought	Outcome	Initial Money (£)	N_shares_purchased	Purchase_total_inc_fees	N_shares_sold	Sales_total_inc_fees	Profit/Loss on Sales (£)	Row Balance (£)	Final Money (£)
1628	2020-12-07 11:00:00+00:00	288.0	292.0	282.0	286.0	286.0	112331	275.81354976680086	281.42092539440085	284.0477760370542	64.19356537216382	71.72157779299742	85.59955785386956	7.906215122767857	Short	Long	Long	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1629	2020-12-07 12:00:00+00:00	289.5	290.0	285.0	285.8999938964844	285.8999938964844	54102	276.20909659541593	282.018134528012	284.45938000581646	63.96287248963094	54.776960368878854	71.6107955591827	7.906215122767857	Short	Long	Long	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1630	2020-12-07 13:00:00+00:00	287.79998779296875	287.79998779296875	283.70001220703125	286.0	286.0	73552	276.5930535916741	282.5490499242771	284.80174000452394	64.10180376063259	49.69864516255663	58.732394441477645	7.586214338030134	Short	Long	Long	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1631	2020-12-07 14:00:00+00:00	285.0	287.20001220703125	285.0	285.0	285.0	57644	276.92273776454965	282.87584326770684	284.84579778129637	61.54667599145728	45.88541544733082	50.120340326255445	7.529072352818081	Short	Long	Long	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1632	2020-12-07 15:00:00+00:00	285.3500061035156	287.8900146484375	285.0	285.0	285.0	190889	277.23949314633205	283.15906416534597	284.8800649410083	61.54667599145728	42.40453243354919	45.99619768114555	7.3069305419921875	Short	Long	Long	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1633	2020-12-07 16:00:00+00:00	287.0	287.8900146484375	285.0	286.0	286.0	208677	277.58304243471116	283.5378556099665	285.128939398562	63.245776202333296	35.702466489490455	41.330804790123494	6.441931588309152	Short	Long	Long	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1634	2020-12-08 08:00:00+00:00	289.8500061035156	291.79998779296875	283.572509765625	285.6000061035156	285.6000061035156	20034	277.89743316682114	283.8128090091064	285.2336208885517	62.06446006719328	24.794877351885873	34.30062542497518	5.958180018833706	Short	Long	Long	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1635	2020-12-08 09:00:00+00:00	285.6000061035156	285.6000061035156	282.510009765625	285.4800109863281	285.4800109863281	42244	278.194789159743	284.0351026060693	285.28837424361313	61.69218866075332	13.033392648484687	24.510245496620346	5.815392630440848	Short	Long	Long	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1636	2020-12-08 10:00:00+00:00	283.3999938964844	286.0	282.0	282.0	282.0	56254	278.34401311426285	283.7637555919267	284.5576244116991	51.95854574497545	3.1465919498604826	13.65828731674369	5.624106270926339	Short	Short	Long	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
1637	2020-12-08 11:00:00+00:00	286.0	286.0	280.0	280.45001220703125	280.45001220703125	27841	278.42660131397923	283.32192314060734	283.64482169955073	48.30300422696514	1.1463481920319338	5.775444263459044	5.856964111328125	Short	Short	Long	-							166.12	0	0.0	0	0.0	0.0	0.0	166.12
